Departamentos,Td mujeres %,td hombres %,td general %,PIB precios constantes
Antioquia,15,8.4,11.2,129.477
Atlantico,10.1,4.9,7.1,38.925
Bogota DC,12.3,9.7,10.9,228.798
Bolivar,7.5,3.4,5,32.045
Boyaca,11.3,6.8,8.6,23.831
Caldas,14.4,8.8,11,13.781
Caqueta,16,8.1,11.1,3.607
Cauca,16.7,6.2,10.2,15.666
Cesar ,19.6,9,13.2,16.640
Choco,15.4,8.3,11.2,14.844
Cordoba,14.5,8.2,11,53.017
Cundinamarca ,19.8,7.9,12,3.348
Huila,11,6.4,8.2,13.681
La Guajira,9.9,3.8,6.5,8.905
Magdalena,15.5,5.2,9.2,11.544
Meta,16.1,11.5,13.4,30.950
Nariño,8.8,4.5,6.3,13.048
Norte de Santander,18,12.5,14.6,13.483
Quindio,19.7,11.8,15.2,6.991
Risaralda,9.9,5.9,7.6,14.011
Santander,11.9,7.8,9.6,56.597
Sucre,17.8,7,11.2,7.379
Tolima,20.3,11.7,15.3,18.629
Valle del Cauca,15,9.2,11.9,86.992